STATION,DATE,ACMC,ACMH,ACSC,ACSH,ADPT,ASLP,ASTP,AWBT,AWDR,AWND,DAEV,DAPR,DASF,DATN,DATX,DAWM,DWPR,EVAP,FMTM,FRGB,FRGT,FRTH,GAHT,MDEV,MDPR,MDSF,MDTN,MDTX,MDWM,MNPN,MXPN,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SN01,SN02,SN03,SN11,SN12,SN13,SN14,SN21,SN22,SN23,SN31,SN32,SN33,SN34,SN35,SN36,SN51,SN52,SN53,SN54,SN55,SN56,SN57,SN61,SN72,SN81,SN82,SN83,SNOW,SNWD,SX01,SX02,SX03,SX11,SX12,SX13,SX14,SX15,SX17,SX21,SX22,SX23,SX31,SX32,SX33,SX34,SX35,SX36,SX51,SX52,SX53,SX54,SX55,SX56,SX57,SX61,SX72,SX81,SX82,SX83,TAVG,TAXN,THIC,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFI,WDFM,WDMV,WESD,WESF,WSF1,WSF2,WSF5,WSFG,WSFI,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT12,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03,WV07,WV18,WV20,alt,station_info,station_name,time,borough,year
USW00094728,1/1/2017,,,,,22,30.16,30.02,36,,5.59,,,,,,,,,,,,,,,,,,,,,,,0,,41,31,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,40,,,,260,310,,,,,,,,15,23,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,Manhattan,2017
USW00094728,1/2/2017,,,,,33,30.41,30.25,37,,9.17,,,,,,,,,,,,,,,,,,,,,,,0.21,,82,51,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,37,,,,70,70,,,,,,,,17,25.1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,2017
USW00094728,1/3/2017,,,,,40,29.83,29.64,41,,10.74,,,,,,,,,,,,,,,,,,,,,,,0.58,,98,96,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,39,,,,70,60,,,,,,,,21,30,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,2017
USW00094728,1/4/2017,,,,,31,29.52,29.36,39,,8.05,,,,,,,,,,,,,,,,,,,,,,,0,,64,30,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,34,,,,280,290,,,,,,,,23.9,36,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,Manhattan,2017
USW00094728,1/5/2017,,,,,10,29.91,29.77,24,,7.83,,,,,,,,,,,,,,,,,,,,,,,0,,42,38,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,27,,,,250,290,,,,,,,,17,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,2017
USW00094728,1/6/2017,,,,,15,30.07,29.89,25,,4.7,,,,,,,,,,,,,,,,,,,,,,,0.05,,57,39,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,25,,,,360,20,,,,,,,,10.1,16.1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,Manhattan,2017
USW00094728,1/7/2017,,,,,13,30.21,30.04,19,,7.61,,,,,,,,,,,,,,,,,,,,,,,0.32,,72,44,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,20,,,,350,330,,,,,,,,17,25.1,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,Manhattan,2017
USW00094728,1/8/2017,,,,,4,30.33,30.12,16,,8.72,,,,,,,,,,,,,,,,,,,,,,,0,,50,35,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,16,,,,290,280,,,,,,,,18.1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,2017
USW00094728,1/9/2017,,,,,4,30.67,30.52,16,,5.14,,,,,,,,,,,,,,,,,,,,,,,0,,53,45,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,14,,,,250,250,,,,,,,,13,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,2017
USW00094728,1/10/2017,,,,,21,30.5,30.34,29,,4.7,,,,,,,,,,,,,,,,,,,,,,,0,,65,42,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,21,,,,180,170,,,,,,,,14.1,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,2017
